Vendor Name	Department	Last 12 Months Cost (USD)	1-line Description	Suggestions
Emerge Development Consultancy Ltd	People	$10,046	Leadership development and training consultancy	Optimize
Performancepro	People	$10,018	Performance management and HR software	Consolidate
Microsoft Ireland Operations Limited	Engineering	$9,822	Software licensing and cloud services	Optimize
Catering Muring	G&A	$9,603	Catering and food services in Croatia	Consolidate
Omonia D.O.O.	G&A	$9,559	Business services and operations in Croatia	Optimize
Outreach Corporation	Sales	$9,206	Sales engagement and automation platform	Optimize
Cbre Limited	G&A	$8,395	Commercial real estate services and property management	Consolidate
Studentski Centar - Split	G&A	$8,269	Student services and facilities in Split Croatia	Consolidate
The Guardian	Marketing	$8,070	News media and digital advertising platform	Terminate
Intertrust Singapore Corporate Services Pte Ltd - Csc	Legal	$7,360	Corporate secretarial and compliance services	Optimize
Goto Technologies Uk Limited	Engineering	$7,316	Video conferencing and remote collaboration software	Consolidate
Hrsolution International Ag	People	$6,987	HR consulting and workforce solutions	Consolidate
Trello	Engineering	$6,674	Project management and collaboration tool	Consolidate
Obrt Sjaj Sunca	G&A	$6,596	Cleaning and facility maintenance services	Optimize
Telefonica Compras Electronicas S.L.	Engineering	$6,157	Telecommunications procurement services	Consolidate
Allianz Australia Workers' Compensation (Victoria) Limited	People	$6,099	Workers compensation insurance in Australia	Optimize
Icici Lombard Gic Ltd	People	$5,972	General insurance provider in India	Consolidate
Mosaic Concept D.O.O.	Marketing	$5,731	Creative design and marketing agency in Croatia	Optimize
Limes Plus D.O.O.	G&A	$5,624	Office supplies and business services in Croatia	Optimize
Mercer Limited	People	$5,444	HR consulting and employee benefits advisory	Optimize
Acclime Corporate Services	Legal	$5,413	Corporate secretarial and compliance services	Consolidate
Green Commute Initiative	People	$5,402	Employee commuter benefits and sustainability program	Optimize
Tattu Manchester Limited	G&A	$5,366	Restaurant and corporate event venue	Terminate
Athlete Service Ltd	People	$5,285	Employee wellness and fitness program provider	Optimize
Amazon Web Services Inc.	Engineering	$5,153	Cloud computing infrastructure and services	Consolidate
Telemach Hrvatska D.O.O.	Engineering	$5,134	Telecommunications and internet provider in Croatia	Consolidate
Acclime Usa Inc	Legal	$4,995	Corporate secretarial and compliance services	Consolidate
Centar Za Sigurnost D.O.O.	G&A	$4,991	Security services and workplace safety in Croatia	Optimize
Profi Bar D.O.O.	G&A	$4,917	Catering and beverage services in Croatia	Consolidate
Pricewaterhousecoopers Llp	Finance	$4,879	Professional services and audit advisory	Consolidate
Pinnacle Partnership Ca	People	$4,836	Recruitment and HR consulting services	Consolidate
The Virtual Legal Counsel Ltd	Legal	$4,800	Virtual legal services and corporate counsel	Consolidate
Australian Payroll Professionals Pty Ltd	Finance	$4,399	Payroll processing and HR services in Australia	Optimize
Inter Continental Chennai Mahabalipuram Resort	G&A	$4,393	Hotel and conference venue for corporate events	Terminate
Jetbrains S.R.O.	Engineering	$4,083	Software development tools and IDE provider	Optimize
Crowe Horwath Revizija D.O.O.	Finance	$4,062	Audit and accounting services in Croatia	Consolidate
Puducherry Backwater Resort Private Limited	G&A	$4,056	Hotel and event venue in India	Terminate
Orionw Llc	Engineering	$4,025	Software development and technology services	Optimize
Adobe Systems Software	Marketing	$3,929	Creative software and digital marketing tools	Optimize
Common Desk Llc	G&A	$3,842	Coworking and flexible office space	Consolidate
Hep Elektra D.O.O.	G&A	$3,735	Electricity utility provider in Croatia	Optimize
Zivi Napitak D.O.O.	G&A	$3,700	Beverage and refreshment services in Croatia	Consolidate
Gym4You D.O.O.	People	$3,692	Fitness and employee wellness facilities	Consolidate
Aha! Labs Inc	Engineering	$3,689	Product roadmap and management software	Optimize
Apple Retail Uk Ltd	Engineering	$3,548	Hardware and device procurement	Consolidate
Kryterion Inc.	People	$3,541	Online testing and certification platform	Optimize
Npm Inc	Engineering	$3,535	JavaScript package registry and developer tools	Optimize
Pinsent Masons Mpillay Llp	Legal	$4,078	International law firm and legal services	Consolidate
Calm Achiever(A Unit Of Mohsin Ali Vakil)	People	$4,071	Employee wellness and mental health services	Consolidate
Pluxee India Private Limited	People	$3,994	Employee benefits and meal voucher services	Optimize
O'Donnell Salzano Lawyers	Legal	$3,955	Legal services and corporate law firm	Consolidate
Papertrail Inc	Engineering	$3,900	Log management and application monitoring platform	Consolidate
Sniper Systems And Solutions Private Limited	Engineering	$3,899	IT systems and technology solutions in India	Optimize
Trocadero (London) Hotel Ltd	G&A	$3,868	Hotel and conference venue in London	Terminate
Semrush Inc	Marketing	$3,730	SEO and digital marketing analytics platform	Optimize
Golubica Parking D.O.O.	G&A	$3,726	Parking services and facilities in Croatia	Optimize
Vodafone (Australian)	Engineering	$3,672	Telecommunications and mobile services	Consolidate
Ikea Hrvatska D.O.O.	G&A	$3,610	Office furniture and supplies in Croatia	Optimize
Orcola D.O.O.	G&A	$3,545	Business services and facilities in Croatia	Optimize
Info Edge India Limited	People	$3,536	Job portal and recruitment platform in India	Consolidate
Grad Split	G&A	$3,483	City government and municipal services in Split	Optimize
T-Mobile	Engineering	$3,357	Mobile telecommunications provider	Consolidate
Akton D.O.O.	Engineering	$3,254	IT services and software development in Croatia	Optimize
Bureau Veritas Croatia D.O.O.	G&A	$3,200	Testing inspection and certification services	Optimize
Cici Prudential Life Insurance Co. Ltd.	People	$3,195	Life insurance provider	Consolidate
Ncc Services Limited	Engineering	$3,036	IT security and compliance services	Optimize
Smartsheet Inc.	Engineering	$2,995	Work management and collaboration platform	Consolidate
Good Game Global D.O.O.	G&A	$2,954	Event and entertainment services in Croatia	Terminate
Garaza Firule D.O.O.	G&A	$2,930	Parking services in Split Croatia	Consolidate
Crossland	G&A	$2,924	Business services and operations support	Optimize
It London	Engineering	$2,838	IT support and managed services in London	Consolidate
Terrapinn Holdings Ltd	Marketing	$2,838	Event management and conference organizer	Terminate
Elemental Life Solutions Llp	People	$2,807	Employee wellness and lifestyle services	Consolidate
United Flow Ltd (The Goodness Project)	People	$2,744	Employee wellness and corporate social responsibility	Terminate
Mcburneys Charted Accountants	Finance	$2,711	Accounting and financial advisory services	Consolidate
Cleverland Winery Resort	G&A	$2,663	Event venue and hospitality services	Terminate
Ag Grid Ltd	Engineering	$2,653	JavaScript data grid component library	Optimize
Lusha	Sales	$2,606	Contact enrichment and sales intelligence platform	Consolidate
My Foodiverse Llp	G&A	$2,489	Food services and catering	Consolidate
4Imprint Direct Ltd	Marketing	$2,436	Promotional products and branded merchandise	Optimize
City Pantry Ltd	G&A	$2,419	Office food and catering delivery service	Consolidate
Stipe Piric	G&A	$2,302	Individual contractor services in Croatia	Optimize
Office Move London	G&A	$2,293	Office relocation and moving services	Optimize
Pink Ribbon Shop	Marketing	$2,251	Promotional merchandise and charity products	Terminate
Starhub Ltd (Supplier)	Engineering	$2,205	Telecommunications provider in Singapore	Consolidate
N S Shastri And Co	Finance	$2,194	Accounting and audit services in India	Consolidate
John Smith	G&A	$2,163	Individual contractor services	Optimize
Fabiola Thistlewhaite	G&A	$2,154	Individual contractor services	Optimize
Hp Inc Uk Limited	Engineering	$2,136	Computer hardware and printer equipment	Consolidate
Cision Pr Newswire	Marketing	$2,110	Press release distribution and media monitoring	Optimize
George Anchor	G&A	$2,107	Individual contractor services	Optimize
Yoxel Inc	Engineering	$2,044	Software and technology services	Optimize
Grt Hotels And Resorts P Ltd	G&A	$2,032	Hotel and conference venue in India	Terminate
Apple Pty Ltd	Engineering	$2,031	Hardware and device procurement in Australia	Consolidate
Slack Technologies Limited	Engineering	$1,989	Team messaging and collaboration platform	Consolidate
G S Notary Public Limited	Legal	$1,935	Notary and legal document services	Optimize
Apple Distribution International Ltd	Engineering	$1,913	Hardware and device procurement	Consolidate
Porezno Savjetnistvo Tuk D.O.O.	Finance	$1,813	Tax advisory services in Croatia	Consolidate
Susan Lee	G&A	$1,762	Individual contractor services	Optimize
Ansar Madovic	G&A	$1,732	Individual contractor services	Optimize
Radius Group Inc	Finance	$1,723	Financial and business advisory services	Consolidate
Aquila Remete D.O.O.	G&A	$1,706	Business services in Croatia	Optimize
Clime India Private Limited	Finance	$1,678	Financial services in India	Consolidate
Golden Mean Inc	G&A	$1,659	Business consulting and advisory services	Terminate
Paint & Fun Vl. Martina Milkova Nikolova	G&A	$1,654	Team building and corporate event services	Terminate
Carrington Communications	Marketing	$1,654	Public relations and communications agency	Terminate
Crayond Digital Private Limited	Engineering	$1,646	Digital product development and design services	Optimize
Studentski Centar Karlovac	G&A	$1,549	Student services and facilities in Karlovac	Consolidate
Lajnap Comedy Booking D.O.O.	G&A	$1,536	Entertainment and event booking services	Terminate
British Telecommunications	Engineering	$1,493	Telecommunications services provider	Consolidate
Etm Concessions Ltd	G&A	$1,419	Vending and refreshment services	Optimize
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd	G&A	$1,406	Hotel and conference venue in India	Terminate
Ariba Inc	Finance	$1,363	Procurement and supply chain management platform	Optimize
Chamiers Recreation Club	G&A	$1,338	Corporate events and recreation venue	Terminate
Quadrant Law Llc	Legal	$1,327	Legal services and corporate law firm	Consolidate
Docusign	Engineering	$1,308	Electronic signature and agreement platform	Optimize
Inside Edge Novated Leasing	G&A	$1,287	Vehicle leasing and employee benefits	Optimize
Rhea D.O.O.	G&A	$1,253	Business services in Croatia	Optimize
P S Recreation Club	G&A	$1,219	Corporate events and recreation venue	Terminate
Fastspring	Engineering	$1,179	E-commerce and subscription billing platform	Optimize
Dsv Solutions A/S	G&A	$1,162	Logistics and shipping services	Optimize
Curzon Green Solicitors	Legal	$1,158	Legal services and law firm	Consolidate
Icare Nsw	People	$1,150	Workers compensation insurance in Australia	Consolidate
Thomas Mansfield Solicitors Limited	Legal	$1,135	Employment law and legal services	Consolidate
Amazon.Co.Uk	G&A	$1,107	Office supplies and equipment procurement	Consolidate
Backoffice Associates	Engineering	$1,080	Data management and enterprise software	Optimize
Oladi D.O.O.	G&A	$1,064	Business services in Croatia	Optimize
Integrated Personnel Services	People	$1,054	HR and staffing services	Consolidate
Muller Trgovina Zagreb D.O.O.	G&A	$1,051	Retail and office supplies in Croatia	Consolidate
Lunch Nutrition D.O.O.	G&A	$1,012	Food and catering services in Croatia	Consolidate
Winmaxi Tours & Travels	G&A	$1,001	Travel booking and transportation services	Consolidate
Digitalna Produkcija J.D.O.O.	Marketing	$993	Digital content production and marketing	Terminate
Computershare-Caboodle Technology Limited	Finance	$981	Share registry and financial services technology	Optimize
Allianz Wa	People	$971	Insurance provider in Western Australia	Consolidate
Trending Technology Services Gmbh	Engineering	$961	Technology services and consulting	Optimize
Godaddy.Com Llc	Engineering	$923	Domain registration and web hosting	Optimize
Time Out Group	Marketing	$920	Media and event advertising platform	Terminate
Raiffeisenbank Austria D.D.	Finance	$920	Banking and financial services in Croatia	Optimize
Galop-Prijevoz D.O.O.	G&A	$908	Transportation and logistics services	Consolidate
Lane Ip Limited	Legal	$851	Intellectual property and patent services	Optimize
Urbani Eventi D.O.O.	G&A	$851	Event planning and corporate events	Terminate
Smashing Media Ag	Engineering	$850	Web development resources and conferences	Optimize
Epignosis Llc	People	$833	Learning management system and training platform	Optimize
Croatia Airlines	G&A	$832	Airline travel services	Consolidate
Bb Football Scouting J.D.O.O.	G&A	$823	Sports and recreation services	Terminate
Boe Croatia D.O.O.	G&A	$814	Business services in Croatia	Optimize
Potomac D.O.O.	G&A	$806	Business services in Croatia	Optimize
President Hotel And Tower Co. Ltd	G&A	$803	Hotel and conference venue	Terminate
Friends Sports Club	G&A	$797	Sports and recreation facilities	Terminate
The Cycle Gap Adyar	G&A	$765	Sports and recreation services in India	Terminate
Apple - Amer	Engineering	$764	Hardware and device procurement	Consolidate
Klg - Kalra Legal Group	Legal	$681	Legal services and law firm in India	Consolidate
Kilgannon & Partners Llp	Legal	$681	Legal services and law firm	Consolidate
Uk Postbox Limited	G&A	$670	Virtual mailbox and mail forwarding services	Optimize
Catering Ivic D.O.O.	G&A	$669	Catering services in Croatia	Consolidate
Blink Events	Marketing	$664	Event planning and marketing services	Terminate
Grafo-Jan	G&A	$662	Printing and office supplies	Optimize
Mesa Verde	G&A	$662	Restaurant and catering services	Terminate
Pixsy Inc	Legal	$613	Image copyright protection and licensing	Optimize
Dun & Bradstreet D.O.O.	Sales	$610	Business data and credit risk intelligence	Optimize
Induslaw	Legal	$596	Legal services and law firm in India	Consolidate
Trans-Agram Obrt Za Dostavu	G&A	$581	Delivery and courier services in Croatia	Optimize
Landu Law Solicitors	Legal	$568	Legal services and immigration law	Consolidate
Arena Center Zagreb D.O.O.	G&A	$567	Shopping and event venue in Zagreb	Terminate
Obrt Za Ugostiteljstvo Mirakul	G&A	$565	Hospitality and catering services	Consolidate
Oakberry Jr D.O.O.	G&A	$535	Food and refreshment services	Terminate
Tau On-Line D.O.O.	Engineering	$534	Online services and technology in Croatia	Optimize
Magic Mountain Saloon	G&A	$524	Restaurant and entertainment venue	Terminate
Hotel Zonar	G&A	$523	Hotel and accommodation services	Terminate
Roto Dinamic D.O.O.	G&A	$512	Printing and media services in Croatia	Optimize
Tm Forum	Engineering	$510	Telecommunications industry standards body	Consolidate
Marvie Hotel - Krupa D.O.O.	G&A	$502	Hotel and accommodation in Croatia	Terminate
Merchandise Ltd	Marketing	$490	Promotional merchandise and branded products	Consolidate
Yellow Submarine D.O.O.	G&A	$486	Restaurant and catering services	Terminate
Streamlinereforms Inc	Finance	$483	Business process and compliance services	Optimize
Make And Grow Ltd	Marketing	$483	Marketing and growth consulting	Terminate
Obiteljski Hoteli D.O.O.	G&A	$474	Hotel and accommodation services	Terminate
Rudan D.O.O.	G&A	$473	Business services in Croatia	Optimize
Entrio Tehnologije D.O.O.	Engineering	$473	Event ticketing and technology platform	Optimize
Vivat Fina Vina D.O.O.	G&A	$467	Wine and beverage services	Terminate
Figma Inc.	Engineering	$460	Collaborative design and prototyping tool	Optimize
E-Disti D.O.O.	Engineering	$458	IT distribution and technology services	Optimize
Greencell Express Private Limited	G&A	$457	Courier and logistics services in India	Optimize
Edwardian Pastoria Hotels Ltd (The Londoner)	G&A	$433	Hotel and conference venue in London	Terminate
Tiganda J.D.O.O.	G&A	$432	Business services in Croatia	Optimize
Franklin Gringer & Cohen P.C.	Legal	$427	Legal services and law firm	Consolidate
Blitz - Cinestar D.O.O.	G&A	$426	Entertainment and cinema services	Terminate
Lancefield Bus Service	G&A	$412	Transportation services in Australia	Optimize
Super Odrediste D.O.O.	G&A	$378	Travel and tourism services	Terminate
Pmi Global Operations Center	People	$378	Project management certification and training	Optimize
Student Packers & Movers	G&A	$371	Moving and relocation services in India	Optimize
Del Posto D.O.O.	G&A	$364	Restaurant and catering services	Terminate
Inicijativa Centar Za Edukaciju	People	$358	Training and education services	Optimize
Niva Transport J.D.O.O.	G&A	$358	Transportation services in Croatia	Optimize
Doctor Anywhere Operations Pte Ltd	People	$347	Telemedicine and healthcare services	Optimize
Spar Hrvatska D.O.O.	G&A	$341	Retail grocery and supplies in Croatia	Consolidate
Pepe'S Italian And Liquor	G&A	$339	Restaurant and catering services	Terminate
Pluralsight Llc	People	$318	Online technology training and learning platform	Optimize
Maniax Melbourne Cbd	G&A	$315	Entertainment and recreation venue	Terminate
Dnsimple	Engineering	$312	Domain management and DNS services	Optimize
Treci Posao D.O.O.	People	$307	Job portal and recruitment services	Consolidate
Gaucho Restaurants	G&A	$302	Restaurant and corporate dining	Terminate
Formswift	G&A	$301	Online document creation and forms	Optimize
Safestore Ltd	G&A	$287	Storage and document archiving services	Optimize
Split Tech City	Engineering	$284	Technology community and networking events	Optimize
National Securities Depository Limited(Nsdl)	Finance	$281	Securities depository and financial services	Optimize
Adamma Info Services Private Limited	Engineering	$273	IT services and technology in India	Optimize
The Riding House Cafe	G&A	$265	Restaurant and corporate catering	Terminate
Stillmark Zagreb D.O.O.	G&A	$263	Business services in Croatia	Optimize
Lastpass Ireland Limited	Engineering	$263	Password management and security software	Optimize
Taste Of Health	G&A	$259	Food and catering services	Terminate
Infodata	Engineering	$241	Data services and technology provider	Optimize
Amazon (Aus)	G&A	$233	Office supplies and equipment in Australia	Consolidate
Regency Hampers Ltd	G&A	$248	Corporate gifts and hamper services	Terminate
Bella Operation A/S	G&A	$241	Business operations and services	Optimize
The Plant Man	G&A	$235	Office plants and interior landscaping	Terminate
Media Promo Plus D.O.O.	Marketing	$226	Marketing and promotional services	Terminate
Expert-Ing D.O.O.	Engineering	$225	Engineering and consulting services	Optimize
Atlassian Pty Ltd	Engineering	$224	Project management and collaboration software	Consolidate
Djs For U	G&A	$220	Entertainment and event services	Terminate
Freepik Company	Marketing	$203	Stock graphics and design resources	Optimize
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Stampar	People	$199	Public health services in Croatia	Optimize
Rishi Events And Entainment	G&A	$198	Event planning and entertainment	Terminate
Kosmaz Technologies Croatia	Engineering	$195	Technology services in Croatia	Optimize
Dhl	G&A	$191	Shipping and logistics services	Consolidate
Hotel Laguna D.D.	G&A	$190	Hotel and accommodation services	Terminate
Bigshare Services Private Limited	Finance	$188	Share registry and investor services	Optimize
Zettanet	Engineering	$183	Network and IT infrastructure services	Optimize
Hahn Air	G&A	$183	Airline ticketing and travel services	Consolidate
Vitality Works	People	$182	Employee wellness and health services	Consolidate
Avoxi Inc	Engineering	$178	Cloud communications and VoIP services	Optimize
Zapier Inc.	Engineering	$167	Workflow automation and integration platform	Optimize
Solarwinds Inc	Engineering	$166	IT monitoring and management software	Optimize
Xenon Savjetovanje D.O.O.	Finance	$164	Business consulting in Croatia	Consolidate
Floom Ltd	G&A	$162	Flower delivery and corporate gifts	Terminate
Notino S.R.O.	G&A	$161	Personal care and wellness products	Terminate
Paint&Wine Vl. Stevo Dosen	G&A	$159	Team building and corporate events	Terminate
Parcelforce Worldwide	G&A	$155	Shipping and parcel delivery services	Consolidate
Advena	G&A	$154	Business services and consulting	Optimize
Hrvatski Nezavisnici Izvoznici Softvera	Engineering	$154	Software industry association in Croatia	Optimize
Monile J.D.O.O.	Engineering	$152	Mobile and software development	Optimize
Puzzle Promotion J.D.O.O.	Marketing	$143	Promotional marketing services	Terminate
Zagrebacki Holding D.O.O.	G&A	$143	City utilities and municipal services	Optimize
Event Ors	G&A	$143	Event planning and coordination	Terminate
Sportkart D.O.O.	G&A	$141	Sports and recreation services	Terminate
Interaction Design Foundation Inc	People	$138	Design education and training platform	Optimize
(Blank)	G&A	$137	Unidentified vendor	Terminate
Escape Art D.O.O.	G&A	$133	Entertainment and team building activities	Terminate
Fero-Term	G&A	$131	Industrial supplies and equipment	Optimize
Ustanova Za Zdravstvenu Skrb P.P.	People	$131	Healthcare services in Croatia	Optimize
Vistaprint	Marketing	$130	Printing and promotional materials	Optimize
Teb Poslovno Savjetovanje D.O.O.	Finance	$129	Business consulting in Croatia	Consolidate
Illunis D.O.O.	Marketing	$128	Creative and design services	Terminate
The Cook Kitchen	G&A	$123	Catering and food services	Terminate
Australian Taxation Office (Ato)	Finance	$123	Tax authority and compliance	Optimize
Capitol Services	Legal	$120	Corporate filing and compliance services	Optimize
Bonus Opinio D.O.O.	Marketing	$120	Marketing research and services	Terminate
Dhl Express (Uk) Ltd	G&A	$119	Express shipping and courier services	Consolidate
Kat'S Kitchen D.O.O.	G&A	$119	Catering and food services	Terminate
Soho Kitchen Ltd	G&A	$104	Restaurant and catering services	Terminate
Fortis Trade J.D.O.O.	G&A	$95	Trading and business services	Optimize
Till Trade D.O.O.	G&A	$93	Business services in Croatia	Optimize
Pret A Manger	G&A	$92	Food and refreshment services	Terminate
Axil Coffee Roasters	G&A	$89	Coffee and refreshment services	Terminate
Pepco Croatia D.O.O.	G&A	$89	Retail and office supplies	Optimize
Lemia D.O.O.	G&A	$88	Business services in Croatia	Optimize
Retriever Llc	Marketing	$88	Media monitoring services	Terminate
Meluba Limited	G&A	$88	Business services and consulting	Optimize
London Waste Management	G&A	$86	Waste management and recycling services	Optimize
Hilton Garden Inn - Zagreb City Hotels D.O.O.	G&A	$82	Hotel and accommodation in Zagreb	Terminate
Lider Media D.O.O.	Marketing	$80	Media and publishing services	Terminate
Uptime Robot Service Provider Ltd	Engineering	$78	Website monitoring and uptime service	Optimize
Mithras Consultants	Finance	$77	Business consulting services	Terminate
6Sense Insights Inc	Sales	$76	B2B predictive intelligence platform	Optimize
Ico	Legal	$67	Data protection registration and compliance	Optimize
Sportska Udruga Split	G&A	$66	Sports association and recreation	Terminate
Prezzee	G&A	$64	Digital gift card and rewards platform	Terminate
Inet Telecoms Ltd.	Engineering	$63	Telecommunications services	Consolidate
Wolt Enterprises Oy	G&A	$62	Food delivery services	Terminate
Platinum Office D.O.O.	G&A	$62	Office supplies and services	Consolidate
Snappy Snaps	Marketing	$59	Photography and printing services	Terminate
